Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,Name
12/28/2017,53.41,53.55,53.16,53.43,6725691,0,1,47.88996575,48.01549646,47.66580377,47.90789871,6725691,Verizon
12/27/2017,53.41,53.5,53.09,53.28,8361890,0,1,47.88996575,47.97066406,47.60303841,47.77340152,8361890,Verizon
12/26/2017,53.13,53.69,53.13,53.22,6595751,0,1,47.63890433,48.14102717,47.63890433,47.71960264,6595751,Verizon
12/22/2017,53.1,53.63,53.06,53.19,13657015,0,1,47.61200489,48.08722829,47.57613897,47.69270321,13657015,Verizon
12/21/2017,52.92,53.6,52.605,53.01,12778042,0,1,47.45060826,48.06032885,47.16816417,47.53130658,12778042,Verizon
12/20/2017,53.13,53.35,52.68,52.77,11642878,0,1,47.63890433,47.83616687,47.23541276,47.31611108,11642878,Verizon
12/19/2017,53.4,53.59,52.695,52.83,13972964,0,1,47.88099927,48.05136238,47.24886248,47.36990995,13972964,Verizon
12/18/2017,52.95,53.39,52.66,53.25,15874378,0,1,47.4775077,47.87203279,47.2174798,47.74650208,15874378,Verizon
12/15/2017,52.56,52.89,52.39,52.67,28935342,0,1,47.12781501,47.42370883,46.97538486,47.22644628,28935342,Verizon
12/14/2017,52.469,52.74,52.085,52.34,18773593,0,1,47.04622005,47.28921164,46.70190725,46.93055247,18773593,Verizon
12/13/2017,52.99,53.19,52.28,52.89,17704769,0,1,47.51337362,47.69270321,46.87675359,47.42370883,17704769,Verizon
12/12/2017,52.35,53.34,52.33,53.19,22898635,0,1,46.93951895,47.82720039,46.92158599,47.69270321,22898635,Verizon
12/11/2017,51.22,51.93,50.97,51.84,13542530,0,1,45.92630679,46.56292682,45.70214481,46.4822285,13542530,Verizon
12/8/2017,50.5,51.175,50.36,51.09,13638871,0,1,45.28072028,45.88595763,45.15518957,45.80974256,13638871,Verizon
12/7/2017,50.59,50.74,50.2,50.42,11984979,0,1,45.3614186,45.49591579,45.01172591,45.20898845,11984979,Verizon
12/6/2017,50.65,50.8399,50.24,50.68,17295544,0,1,45.41521747,45.58549091,45.04759182,45.44211691,17295544,Verizon
12/5/2017,51.75,51.89,50.78,50.92,17573432,0,1,46.40153019,46.5270609,45.5317817,45.65731241,17573432,Verizon
12/4/2017,51.52,52.33,51.5,51.72,19368862,0,1,46.19530117,46.92158599,46.17736821,46.37463075,19368862,Verizon
12/1/2017,50.9,51.545,50.33,51.25,23907594,0,1,45.63937945,46.21771737,45.12829014,45.95320623,23907594,Verizon
11/30/2017,50,51.0944,49.99,50.89,33266192,0,1,44.83239632,45.81368781,44.82342984,45.63041297,33266192,Verizon
11/29/2017,48.84,50.49,48.84,49.9,31031925,0,1,43.79228473,45.2717538,43.79228473,44.74273153,31031925,Verizon
11/28/2017,47.7,48.84,47.53,48.82,20982501,0,1,42.77010609,43.79228473,42.61767594,43.77435177,20982501,Verizon
11/27/2017,47.37,47.9,47.35,47.66,17547938,0,1,42.47421227,42.94943567,42.45627931,42.73424017,17547938,Verizon
11/24/2017,47.06,47.18,46.845,47.01,5097203,0,1,42.19625142,42.30384917,42.00347211,42.15141902,5097203,Verizon
11/22/2017,46.25,47.42,46.24,47.1,15824548,0,1,41.4699666,42.51904467,41.46100012,42.23211733,15824548,Verizon
11/21/2017,46.34,46.4468,46.01,46.18,13596679,0,1,41.55066491,41.64642691,41.25477109,41.40720124,13596679,Verizon
11/20/2017,45.8,46.35,45.5,46.2,18225854,0,1,41.06647503,41.55963139,40.79748065,41.4251342,18225854,Verizon
11/17/2017,44.63,45.77,44.62,45.42,18932391,0,1,40.01739696,41.03957559,40.00843048,40.72574882,18932391,Verizon
11/16/2017,44.21,44.88,44.11,44.77,13231649,0,1,39.64080483,40.24155894,39.55114003,40.14292766,13231649,Verizon
11/15/2017,44.33,44.38,43.965,44.11,15726458,0,1,39.74840258,39.79323497,39.42112608,39.55114003,15726458,Verizon
11/14/2017,44.69,44.85,44.15,44.22,20824408,0,1,40.07119583,40.2146595,39.58700595,39.64977131,20824408,Verizon
11/13/2017,44.92,45.08,44.7,44.75,16664951,0,1,40.27742485,40.42088852,40.08016231,40.12499471,16664951,Verizon
11/10/2017,45.11,45.11,44.75,44.88,17074152,0,1,40.44778796,40.44778796,40.12499471,40.24155894,17074152,Verizon
11/9/2017,45.29,45.43,44.81,45.07,20839313,0,1,40.60918459,40.7347153,40.17879358,40.41192204,20839313,Verizon
11/8/2017,45.41,45.52,45.14,45.46,12829190,0,1,40.71678234,40.81541361,40.4746874,40.76161473,12829190,Verizon
11/7/2017,45.21,45.5878,44.68,45.57,25789586,0,1,40.53745275,40.87620634,40.06222935,40.86024601,25789586,Verizon
11/6/2017,46.31,46.35,44.84,45.53,36440104,0,1,41.52376547,41.55963139,40.20569302,40.82438009,36440104,Verizon
11/3/2017,47.66,47.74,47.235,47.42,8038192,0,1,42.73424017,42.80597201,42.3531648,42.51904467,8038192,Verizon
11/2/2017,47.88,47.94,47.18,47.46,13126670,0,1,42.93150272,42.98530159,42.30384917,42.55491059,13126670,Verizon
11/1/2017,48.15,48.17,47.56,47.83,11046583,0,1,43.17359766,43.19153061,42.64457538,42.88667032,11046583,Verizon
10/31/2017,47.94,48.18,47.71,47.87,15909969,0,1,42.98530159,43.20049709,42.77907257,42.92253624,15909969,Verizon
10/30/2017,48.88,49.12,47.42,47.83,24586726,0,1,43.82815064,44.04334614,42.51904467,42.88667032,24586726,Verizon
10/27/2017,48.72,49.3875,48.53,48.87,12423443,0,1,43.68468697,44.28319946,43.51432387,43.81918416,12423443,Verizon
10/26/2017,48.86,49.43,48.75,48.89,14420057,0,1,43.81021768,44.321307,43.71158641,43.83711712,14420057,Verizon
10/25/2017,48.68,48.79,48.15,48.66,17404153,0,1,43.64882106,43.74745233,43.17359766,43.6308881,17404153,Verizon
10/24/2017,49.16,49.28,48.72,48.94,11527766,0,1,44.07921206,44.18680981,43.68468697,43.88194952,11527766,Verizon
10/23/2017,49.47,49.69,48.91,48.99,15659274,0,1,44.35717292,44.55443546,43.85505008,43.92678191,15659274,Verizon
10/20/2017,49.45,49.59,48.93,49.53,16259580,0,1,44.33923996,44.46477067,43.87298304,44.41097179,16259580,Verizon
10/19/2017,50.05,51.18,49.05,49.21,29172629,0,1,44.87722872,45.89044087,43.98058079,44.12404446,29172629,Verizon
10/18/2017,48.33,48.85,47.76,48.65,20410445,0,1,43.33499428,43.8012512,42.82390496,43.62192162,20410445,Verizon
10/17/2017,48.09,48.49,47.87,48.4,14842814,0,1,43.11979878,43.47845795,42.92253624,43.39775964,14842814,Verizon
10/16/2017,47.9,48.35,47.7,48.09,10394675,0,1,42.94943567,43.35292724,42.77010609,43.11979878,10394675,Verizon
10/13/2017,48.34,48.48,47.83,47.86,20102719,0,1,43.34396076,43.46949147,42.88667032,42.91356976,20102719,Verizon
10/12/2017,48.44,48.85,48.13,48.35,17087942,0,1,43.43362555,43.8012512,43.1556647,43.35292724,17087942,Verizon
10/11/2017,49.14,49.32,48.51,48.86,10334932,0,1,44.0612791,44.22267573,43.49639091,43.81021768,10334932,Verizon
10/10/2017,49.28,49.49,49.055,49.14,10842579,0,1,44.18680981,44.37510588,43.98506403,44.0612791,10842579,Verizon
10/9/2017,48.89,49.09,48.65,49.05,10702938,0,1,43.83711712,44.01644671,43.62192162,43.98058079,10702938,Verizon
10/6/2017,49.04,49.2,48.6555,48.81,13239443,0.59,1,43.97161431,44.11507798,43.62685318,43.76538529,13239443,Verizon
10/5/2017,49.96,50.0345,49.675,49.77,12230644,0,1,44.26151111,44.32751357,44.00901851,44.09318271,12230644,Verizon
10/4/2017,49.64,50.08,49.38,49.9,9887352,0,1,43.97801064,44.36782379,43.74766651,44.20835477,9887352,Verizon
10/3/2017,49.45,50.02,49.43,49.85,10218105,0,1,43.80968224,44.31466745,43.79196346,44.16405783,10218105,Verizon
10/2/2017,49.39,49.7,49.25,49.36,9525757,0,1,43.7565259,44.03116698,43.63249444,43.72994773,9525757,Verizon
9/29/2017,49.3,49.83,49.01,49.49,13021687,0,1,43.67679139,44.14633905,43.41986909,43.8451198,13021687,Verizon
9/28/2017,49.24,49.565,49.1401,49.41,8231789,0,1,43.62363505,43.91156522,43.53512975,43.77424468,8231789,Verizon
9/27/2017,49.19,49.725,49.12,49.51,14270570,0,1,43.5793381,44.05331545,43.51732237,43.86283857,14270570,Verizon
9/26/2017,49.96,50.08,49.4,49.51,12007012,0,1,44.26151111,44.36782379,43.76538529,43.86283857,12007012,Verizon
9/25/2017,49.87,50.315,49.745,49.9,13698382,0,1,44.18177661,44.57601945,44.07103423,44.20835477,13698382,Verizon
9/22/2017,49.19,50.08,49.02,49.9,20646209,0,1,43.5793381,44.36782379,43.42872848,44.20835477,20646209,Verizon
9/21/2017,49.37,49.44,48.844,48.94,14315333,0,1,43.73880712,43.80082285,43.27280322,43.35785336,14315333,Verizon
9/20/2017,49.3,49.64,49.08,49.48,18755612,0,1,43.67679139,43.97801064,43.48188482,43.83626041,18755612,Verizon
9/19/2017,48.09,49.55,48.01,49.34,30817862,0,1,42.60480523,43.89827613,42.53393011,43.71222895,30817862,Verizon
9/18/2017,47.91,48.245,47.51,48.09,18810166,0,1,42.44533622,42.74212577,42.09096063,42.60480523,18810166,Verizon
9/15/2017,47.42,47.9,47.055,47.86,24626478,0,1,42.01122612,42.43647683,41.68785839,42.40103927,24626478,Verizon
9/14/2017,47.24,47.59,47.01,47.18,11808283,0,1,41.8517571,42.16183575,41.64799114,41.79860077,11808283,Verizon
9/13/2017,46.78,47.26,46.68,47.25,12772690,0,1,41.44422518,41.86947588,41.35563128,41.86061649,12772690,Verizon
9/12/2017,46.5,46.95,46.38,46.79,11173135,0,1,41.19616226,41.5948348,41.08984959,41.45308457,11173135,Verizon
9/11/2017,46.23,46.34,46.12,46.3,11073655,0,1,40.95695874,41.05441203,40.85950545,41.01897447,11073655,Verizon
9/8/2017,46.18,46.39,45.71,46.11,14152041,0,1,40.91266179,41.09870898,40.49627048,40.85064606,14152041,Verizon
9/7/2017,47,47.21,46.07,46.2,16590225,0,1,41.63913175,41.82517894,40.81520851,40.93038057,16590225,Verizon
9/6/2017,47.47,47.56,46.615,46.91,14081939,0,1,42.05552307,42.13525758,41.29804525,41.55939724,14081939,Verizon
9/5/2017,47.78,47.92,47.3,47.36,10005052,0,1,42.33016415,42.45419561,41.90491344,41.95806978,10005052,Verizon
9/1/2017,48.02,48.07,47.77,47.92,11455202,0,1,42.5427895,42.58708645,42.32130476,42.45419561,11455202,Verizon
