Date,Price
2018-01-01,1843.0
2018-01-02,1949.0
2018-01-03,1890.0
2018-01-04,1866.0
2018-01-05,1935.0
2018-01-06,2005.0
2018-01-07,2086.0
2018-01-08,2100.0
2018-01-09,2222.0
2018-01-10,2245.0
2018-01-11,2212.0
2018-01-12,2032.0
2018-01-13,2116.0
2018-01-14,2005.0
2018-01-15,2016.0
2018-01-16,1817.0
2018-01-17,1702.0
2018-01-18,1796.0
2018-01-19,1889.0
2018-01-20,1761.0
2018-01-21,1876.0
2018-01-22,1861.0
2018-01-23,1891.0
2018-01-24,1929.0
2018-01-25,2029.0
2018-01-26,1980.0
2018-01-27,2003.0
2018-01-28,2018.0
2018-01-29,1939.0
2018-01-30,1859.0
2018-01-31,1701.0
2018-02-01,1750.0
2018-02-02,1907.0
2018-02-03,1909.0
2018-02-04,1911.0
2018-02-05,1916.0
2018-02-06,1831.0
2018-02-07,1864.0
2018-02-08,1912.0
2018-02-09,1746.0
2018-02-10,1823.0
2018-02-11,1762.0
2018-02-12,1842.0
2018-02-13,1767.0
2018-02-14,1699.0
2018-02-15,1776.0
2018-02-16,1800.0
2018-02-17,1853.0
2018-02-18,1894.0
2018-02-19,1948.0
2018-02-20,1926.0
2018-02-21,1997.0
2018-02-22,2114.0
2018-02-23,2421.0
2018-02-24,2400.0
2018-02-25,2119.0
2018-02-26,2085.0
2018-02-27,2283.0
2018-02-28,2392.0
2018-03-01,2454.0
2018-03-02,2550.0
2018-03-03,2608.0
2018-03-04,2699.0
2018-03-05,2698.0
2018-03-06,2637.0
2018-03-07,2418.0
2018-03-08,2430.0
2018-03-09,2451.0
2018-03-10,2456.0
2018-03-11,2588.0
2018-03-12,2659.0
2018-03-13,2770.0
2018-03-14,2933.0
2018-03-15,2829.0
2018-03-16,2442.0
2018-03-17,2324.0
2018-03-18,2481.0
2018-03-19,2542.0
2018-03-20,2806.0
2018-03-21,3167.0
2018-03-22,2873.0
2018-03-23,2839.0
2018-03-24,2973.0
2018-03-25,2991.0
2018-03-26,2997.0
2018-03-27,2893.0
2018-03-28,2933.0
2018-03-29,2817.0
2018-03-30,2936.0
2018-03-31,3159.0
2018-04-01,3076.0
2018-04-02,2708.0
2018-04-03,2692.0
2018-04-04,2712.0
2018-04-05,2600.0
2018-04-06,2468.0
2018-04-07,2592.0
2018-04-08,2554.0
2018-04-09,2432.0
2018-04-10,2600.0
2018-04-11,2665.0
2018-04-12,2798.0
2018-04-13,2969.0
2018-04-14,3142.0
2018-04-15,2951.0
2018-04-16,3023.0
2018-04-17,3221.0
2018-04-18,3226.0
2018-04-19,3365.0
2018-04-20,3306.0
2018-04-21,3196.0
2018-04-22,3195.0
2018-04-23,3260.0
2018-04-24,3471.0
2018-04-25,3673.0
2018-04-26,3632.0
2018-04-27,3590.0
2018-04-28,3657.0
2018-04-29,3839.0
2018-04-30,3543.0
2018-05-01,3725.0
2018-05-02,3791.0
2018-05-03,3352.0
2018-05-04,3319.0
2018-05-05,3484.0
2018-05-06,3762.0
2018-05-07,3996.0
2018-05-08,4019.0
2018-05-09,4025.0
2018-05-10,3691.0
2018-05-11,3439.0
2018-05-12,3642.0
2018-05-13,3910.0
2018-05-14,3861.0
2018-05-15,3863.0
2018-05-16,4256.0
2018-05-17,3927.0
2018-05-18,3923.0
2018-05-19,4028.0
2018-05-20,4098.0
2018-05-21,3906.0
2018-05-22,3742.0
2018-05-23,3370.0
2018-05-24,3514.0
2018-05-25,3576.0
2018-05-26,3421.0
2018-05-27,3240.0
2018-05-28,2988.0
2018-05-29,3200.0
2018-05-30,3210.0
2018-05-31,3562.0
2018-06-01,3619.0
2018-06-02,3462.0
2018-06-03,3561.0
2018-06-04,3652.0
2018-06-05,3764.0
2018-06-06,3992.0
2018-06-07,3240.0
2018-06-08,3353.0
2018-06-09,3449.0
2018-06-10,3445.0
2018-06-11,3202.0
2018-06-12,3102.0
2018-06-13,2960.0
2018-06-14,2760.0
2018-06-15,2882.0
